Column,Source,Description,Confidence,Type,Values,Notes,
upc,All,Unique Product Code,,,,,"Confidence 5 high, 1 low"
calendar_date,All,Date,,,,,
store_id,All,Store ID,,,,,
geography_id,All,Geography ID,,,,,
shelf_life,All,Shelf Life - how long product lasts,,,,,
units_per_tray,All,Units per tray - minimum supplier unit,,,,,
cal_gross_sales_qty_on_day,Store,?,,,,,
closing_inventory_min_neg_over_shelf_life_minus_2_days,Store,?,,,,,
closing_inventory_neg_count_over_1_day,Store,?,,,,,
closing_inventory_neg_count_over_shelf_life_minus_2_days,Store,?,,,,,
closing_inventory_on_day,Store,Closing Inventory on Day - stockfile for next day?,,,,,
delivered_qty_over_shelf_life,Store,?,,,,,
ranging_indicator_on_day,Store,Ranging Indicator - if product is in range,4,Bool,"0,1",,
rtm_qty_over_minus_1,Store,?,,,,,
rtm_quant_on_day,Store,?,,,,,
sales_qty_over_lead_time,Store,?,,,,,
sales_qty_over_shelf_life,Store,?,,,,,
sales_value_on_day,Store,?,,,,,
stock_adj_over_shelf_life_exclude_event_date,Store,?,,,,,
stock_out_ind_on_day,Store,Stockout indicator - if product ran out,5,Bool,"0,1",,
stockfile_adjust_neg_count_over_minus_1_day,Store,?,,,,,
stockfile_adjust_qty_at_minus_1_day,Store,?,,,,,
stockfile_adjust_qty_at_plus_1_day,Store,?,,,,,
stockfile_adjust_qty_on_day,Store,Adjustment to stock count. Error in stock counted on previous day,4,Num,R+-,,
waste_value_on_day,Store,Waste quantity,5,Num,R+,,
cinv_closing_inventory_min_neg_over_shelf_life_minus_2_days,Inventory,?,,,,,
cinv_closing_inventory_on_day,Inventory,Closing Inventory on Day - stockfile for next day?,4,Num,R+,,
depot_delivered_qty_on_day,Depot,Quantity delivered to depot by supplier (for a specific store?),3,Num,R+,Check what is a reasonable value,
depot_delivered_qty_over_minus_2_day,Depot,?,,,,,
depot_delivered_qty_over_shelf_life_plus_1,Depot,?,,,,,
depot_lvl_required_qty_over_supplier_lead_time,Depot,?,,,,,
depot_lvl_target_inventory_on_day,Depot,Requested/required delivery to the depot (for a specific store),3,Num,R+,Check what is a reasonable value,
depot_ordered_qty_on_day,Depot,Ordered Quantity from rounding depot_lvl_target_inventory_on_day to tray size,4,Num,R+,Does this take into account what is in store,
depot_ordered_qty_over_minus_2_day,Depot,Cumulative total of orders over last 2 days ,4,Num,R+,,
depot_ordered_qty_over_shelf_life_plus_1,Depot,Cumulative total of orders over the shelf life and a day of the product,4,Num,R+,,
depot_ordered_qty_over_supplier_lead_time,Depot,Cumulative total of orders over lead time to order,4,Num,R+,Should be able to workout product lead time,
depot_store_id,Depot,Depot products have been sent from,5,Num,R+,,
actual_store_need_on_day,Forecast,Actual delivery required by store in unknown units?,5,Num,R+,Could be filled in using units and delivered,
actual_store_need_over_lead_time,Forecast,Cumulative store need across lead time,,Num,R+,Can calculate lead time,
actual_store_need_qty_over_shelf_life,Forecast,Cumulative ,,,,,
additive_allocated_qty_over_lead_time,Forecast,,,,,,
additive_allocated_qty_over_shelf_life,Forecast,,,,,,
additive_qty_allocated_on_day,Forecast,,,,,,
allocated_qty_over_shelf_life,Forecast,,,,,,
allocated_quantity_on_day,Forecast,,,,,,
allocated_required_diff_high_qty_over_lead_time,Forecast,,,,,,
allocated_required_diff_high_qty_over_shelf_life,Forecast,,,,,,
allocated_required_diff_low_qty_over_lead_time,Forecast,,,,,,
allocated_required_diff_low_qty_over_shelf_life,Forecast,,,,,,
forecast_demand_on_day,Forecast,,,,,,
forecast_demand_qty_over_lead_time,Forecast,,,,,,
forecast_demand_qty_over_shelf_life,Forecast,,,,,,
forecast_waste_qty_over_lead_time,Forecast,,,,,,
forecast_waste_qty_over_shelf_life,Forecast,,,,,,
predicted_waste_on_day,Forecast,,,,,,
replacement_qty_on_day,Forecast,,,,,,
replacement_qty_over_lead_time,Forecast,,,,,,
replacement_qty_over_shelf_life,Forecast,,,,,,
store_allocated_qty_over_lead_time,Forecast,,,,,,
store_delivery_qty_on_day,Forecast,,,,,,
store_required_qty_on_day,Forecast,,,,,,
store_required_qty_over_lead_time,Forecast,,,,,,
store_required_qty_over_shelf_life,Forecast,,,,,,
target_inventory_on_day,Forecast,,,,,,
